,Name,Platform,Year of Release,Genre,Publisher,NA Sales,EU Sales,JP Sales,Other Sales,Global Sales,Critic Score,Critic Count,User Score,User Count,Developer,Rating
9826,Shin Megami Tensei: Devil Survivor 2,3DS,2015,Role-Playing,Atlus,0.0,0.02,0.09,0.0,0.12,0.0,0.0,0.0,0.0,,
9834,Dragon Quest Builders: Revive Alefgard,PS3,2016,Role-Playing,Square Enix,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,,
9840,Fate/Extra CCC,PSP,2013,Action,Marvelous Entertainment,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,,
9853,Tony Hawk's Pro Skater 5,XOne,2015,Sports,Activision,0.09,0.02,0.0,0.01,0.12,39.0,18.0,2.1,132.0,Robomodo,T
9855,Rodea the Sky Soldier,WiiU,2015,Action,Nippon Ichi Software,0.08,0.02,0.01,0.01,0.12,45.0,31.0,6.5,81.0,"Prope, Kadokawa",E10+
9857,Yakuza Kiwami,PS3,2016,Adventure,Sega,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,,
9862,NBA 2K17,X360,2016,Sports,Take-Two Interactive,0.09,0.02,0.0,0.01,0.12,0.0,0.0,3.4,11.0,2K Games,E
9869,Skylanders: SuperChargers,3DS,2015,Action,Activision,0.05,0.06,0.0,0.01,0.12,0.0,0.0,0.0,0.0,Vicarious Visions,E10+
9873,Just Dance: Disney Party,Wii,2012,Misc,Ubisoft,0.01,0.1,0.0,0.01,0.12,0.0,0.0,0.0,0.0,"Disney Interactive Studios, Land Ho!",E
9882,One Piece: Super Grand Battle! X,3DS,2014,Fighting,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,,
9886,Akiba's Trip: Undead & Undressed,PS4,2014,Action,Acquire,0.08,0.0,0.01,0.02,0.12,0.0,0.0,0.0,0.0,,
9888,Tales of Berseria,PS3,2016,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,,
9890,Uta no * Prince-Sama: All Star,PSP,2013,Action,Broccoli,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,,
9894,Jikkyou Powerful Pro Yakyuu 2014,PSV,2014,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,,
9903,Marvel Avengers: Battle for Earth,WiiU,2012,Action,Ubisoft,0.06,0.04,0.0,0.01,0.12,50.0,10.0,5.0,25.0,Ubisoft Quebec,T
9913,Tom Clancy's Splinter Cell: Blacklist,WiiU,2013,Action,Ubisoft,0.04,0.07,0.0,0.01,0.12,75.0,5.0,7.8,148.0,Ubisoft Toronto,M
9923,Samurai Warriors 4-II,PS4,2015,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,73.0,26.0,7.3,24.0,Omega Force,T
9927,Love Live! School Idol Paradise,PSV,2014,Misc,Kadokawa Games,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,,
9928,Lost Planet 3,X360,2013,Shooter,Capcom,0.07,0.03,0.01,0.01,0.12,58.0,43.0,5.8,142.0,Spark Unlimited,T
9942,LEGO Batman 2: DC Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.04,0.06,0.0,0.01,0.12,77.0,7.0,7.3,31.0,TT Games,E10+
9947,Tropico 5,PC,2014,Simulation,Kalypso Media,0.02,0.09,0.0,0.01,0.12,75.0,51.0,7.0,351.0,Haemimont,T
9950,Reality Fighters,PSV,2012,Fighting,Sony Computer Entertainment,0.05,0.05,0.0,0.02,0.12,54.0,39.0,3.8,30.0,Novarama,T
9955,Jikkyou Powerful Pro Baseball 2016,PS3,2016,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,,
9956,FIFA 17,PC,2016,Sports,Electronic Arts,0.0,0.11,0.0,0.01,0.12,84.0,12.0,4.2,160.0,"EA Sports, EA Vancouver",E
9967,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013,Misc,Ubisoft,0.09,0.01,0.0,0.01,0.12,0.0,0.0,0.0,0.0,,
9969,Armored Core: Verdict Day,PS3,2013,Simulation,From Software,0.0,0.0,0.12,0.0,0.12,66.0,18.0,7.4,28.0,From Software,T
9971,Madden NFL 17,PS3,2016,Sports,Electronic Arts,0.07,0.02,0.0,0.02,0.12,0.0,0.0,0.2,5.0,EA Sports,E
9994,Dynasty Warriors 8: Xtreme Legends,PSV,2013,Action,Tecmo Koei,0.03,0.02,0.05,0.02,0.12,0.0,0.0,0.0,0.0,,
9996,Yakuza,PS3,2012,Action,Sega,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
9998,Deception IV: Blood Ties,PS3,2014,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.11,70.0,19.0,8.2,27.0,Koei Tecmo Games,M
10001,Fuse (Insomniac),PS3,2013,Shooter,Electronic Arts,0.06,0.04,0.0,0.02,0.11,0.0,0.0,0.0,0.0,,
10016,Rugby 15,PS4,2015,Sports,Bigben Interactive,0.04,0.06,0.0,0.02,0.11,19.0,5.0,3.4,65.0,HB Studios Multimedia,E
10025,Final Fantasy III,PSP,2012,Role-Playing,Square Enix,0.0,0.0,0.11,0.0,0.11,0.0,0.0,8.9,15.0,Matrix Software,T
10026,Taiko Drum Master: Tokumori!,WiiU,2014,Misc,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
10027,Disney Art Academy,3DS,2016,Action,Nintendo,0.02,0.01,0.08,0.0,0.11,72.0,16.0,6.8,5.0,Headstrong Games,E
10030,Persona 5,PS3,2016,Role-Playing,Unknown,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,Atlus,
10031,Hyperdimension Neptunia U: Action Unleashed,PSV,2014,Action,Idea Factory International,0.03,0.01,0.06,0.01,0.11,71.0,20.0,6.8,44.0,Tamsoft,T
10036,Pocket Soccer League: Calciobit,3DS,2012,Sports,Nintendo,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
10057,The Walking Dead: Survival Instinct,WiiU,2013,Shooter,Activision,0.08,0.03,0.0,0.01,0.11,0.0,0.0,4.6,49.0,Terminal Reality,M
10061,Puyo Puyo Tetris,3DS,2014,Puzzle,Sega,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
10063,Fatal Frame: Maiden of Black Water,WiiU,2014,Action,Nintendo,0.0,0.03,0.08,0.0,0.11,67.0,58.0,7.6,226.0,Koei Tecmo Games,M
10065,Samurai Warriors 4-II,PS3,2015,Action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,Omega Force,T
10075,MLB 13: The Show,PSV,2013,Sports,Sony Computer Entertainment,0.1,0.0,0.0,0.02,0.11,75.0,7.0,7.5,21.0,SCEA San Diego Studios,E
10080,Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,3DS,2015,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
10104,Funky Barn,3DS,2012,Simulation,Ubisoft,0.07,0.03,0.0,0.01,0.11,0.0,0.0,0.0,0.0,,
10105,Transformer: Rise of the Dark Spark,PS3,2014,Action,Activision,0.04,0.04,0.01,0.02,0.11,0.0,0.0,0.0,0.0,,
10109,MotoGP 14 ,PS3,2014,Racing,Milestone S.r.l.,0.05,0.05,0.0,0.02,0.11,0.0,0.0,0.0,0.0,Milestone S.r.l,E
10114,Toukiden 2,PSV,2016,Action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
10119,Transformer: Rise of the Dark Spark,XOne,2014,Action,Activision,0.07,0.03,0.0,0.01,0.11,0.0,0.0,0.0,0.0,,
10140,Akiba's Trip: Undead & Undressed,PS3,2013,Action,Nippon Ichi Software,0.05,0.01,0.04,0.01,0.11,0.0,0.0,0.0,0.0,,
10149,LEGO Ninjago: Shadow of Ronin,PSV,2015,Action,Warner Bros. Interactive Entertainment,0.01,0.08,0.0,0.02,0.11,70.0,5.0,0.0,0.0,TT Fusion,E10+
10156,Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games,0.0,0.1,0.0,0.02,0.11,75.0,45.0,8.5,289.0,Media Vision,T
10162,Ridge Racer Unbounded,X360,2012,Racing,Namco Bandai Games,0.05,0.05,0.0,0.01,0.11,71.0,59.0,7.7,56.0,Bugbear,T
10189,PriPara Mezase! Idol Grand Prix No.1!,3DS,2015,Misc,Takara Tomy,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
10199,Valkyrie Drive: Bhikkhuni,PSV,2015,Action,PQube,0.0,0.03,0.07,0.01,0.11,72.0,7.0,8.5,11.0,Marvelous Inc.,M
10217,Samurai Warriors 4,PSV,2014,Action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,76.0,5.0,8.6,18.0,Omega Force,T
10228,AKB48+Me,3DS,2012,Action,Unknown,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
10233,Yomawari,PSV,2015,Adventure,Nippon Ichi Software,0.02,0.02,0.06,0.01,0.11,0.0,0.0,0.0,0.0,,
10253,Wasteland 2,PS4,2015,Role-Playing,Deep Silver,0.08,0.0,0.02,0.02,0.11,0.0,0.0,0.0,0.0,,
10255,Batman: Return to Arkham,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.05,0.05,0.0,0.01,0.11,77.0,6.0,8.2,43.0,"Rocksteady Studios, Virtuos",T
10257,Shining Ark,PSP,2013,Role-Playing,Sega,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
10260,My Little Sister Can't Be This Cute Portable,PSP,2012,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
10279,Picross 3D 2,3DS,2015,Puzzle,Nintendo,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
10290,RIGS: Mechanized Combat League,PS4,2016,Action,Sony Computer Entertainment,0.03,0.05,0.01,0.02,0.11,79.0,42.0,7.9,76.0,Guerilla Cambridge,T
10298,NBA Live 16,XOne,2015,Sports,Electronic Arts,0.09,0.01,0.0,0.01,0.11,60.0,17.0,5.6,62.0,EA Sports,E
10300,Deus Ex: Human Revolution,WiiU,2013,Shooter,Square Enix,0.05,0.05,0.0,0.01,0.11,0.0,0.0,0.0,0.0,,
10316,[Prototype 2],PC,2012,Action,Activision,0.07,0.03,0.0,0.01,0.11,76.0,12.0,6.4,389.0,Radical Entertainment,M
10317,Zombie Army Trilogy,XOne,2015,Shooter,Rebellion Developments,0.05,0.05,0.0,0.01,0.11,62.0,10.0,7.2,40.0,Rebellion,
10327,God Eater 2: Rage Burst,PS4,2015,Role-Playing,Namco Bandai Games,0.0,0.01,0.09,0.0,0.11,69.0,35.0,8.0,79.0,Shift,T
10335,NASCAR '14,PS3,2014,Racing,Deep Silver,0.09,0.0,0.0,0.02,0.11,67.0,7.0,4.6,20.0,Eutechnyx,E
10344,Pro Evolution Soccer 2016,XOne,2015,Sports,Konami Digital Entertainment,0.04,0.06,0.0,0.01,0.11,85.0,14.0,6.2,144.0,Konami,E
10350,ArmA III,PC,2013,Shooter,Bohemia Interactive,0.0,0.1,0.0,0.01,0.11,74.0,38.0,7.4,866.0,Bohemia Interactive,M
10359,MLB 14: The Show,PSV,2014,Sports,Sony Computer Entertainment America,0.08,0.0,0.0,0.03,0.11,68.0,6.0,7.0,25.0,SCEA San Diego Studios,E
10362,Tales of the World: Reve Unitia,3DS,2014,Role-Playing,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
10372,WWE 2K17,X360,2016,Sports,Take-Two Interactive,0.05,0.04,0.0,0.01,0.11,0.0,0.0,0.0,0.0,Yuke's,T
10377,Robotics;Notes,PS3,2012,Adventure,5pb,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
10383,Warriors Orochi 3,PSP,2012,Action,Ubisoft Annecy,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
10389,Dragon Ball Z: Battle of Z,PSV,2014,Fighting,Namco Bandai Games,0.0,0.04,0.06,0.01,0.11,66.0,7.0,7.5,54.0,Artdink,T
10390,Kuroko's Basketball: Miracle Game,PSP,2012,Sports,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
10391,Aquapazza: Aquaplus Dream Match,PS3,2012,Fighting,Aqua Plus,0.05,0.0,0.05,0.01,0.11,75.0,13.0,7.8,20.0,Examu,T
10399,Mobile Suit Gundam Age: Universe Accel / Cosmic Drive,PSP,2012,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,,
10400,Pac-Man and the Ghostly Adventures 2,X360,2014,Adventure,Namco Bandai Games,0.05,0.04,0.0,0.01,0.11,60.0,7.0,6.5,10.0,Vicious Cycle,E10+
10404,Skylanders Imaginators,PS3,2016,Platform,Activision,0.02,0.07,0.0,0.02,0.11,0.0,0.0,0.0,0.0,Toys for Bob,E10+
10406,Fate/Extella: The Umbral Star,PS4,2016,Action,PQube,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,Marvelous Inc.,T
10416,Mind Zero,PSV,2013,Role-Playing,GungHo,0.05,0.0,0.04,0.02,0.1,59.0,13.0,6.0,72.0,Zerodiv,T
10421,Taiko no Tatsujin: V Version,PSV,2015,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10426,Kamen Rider: Battride War II,PS3,2014,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10427,Kenka Bancho Bros: Tokyo Battle Royale,PSP,2012,Action,Spike,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10436,Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,2016,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10443,Fatal Frame 2: Wii Edition,Wii,2012,Action,Nintendo,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10447,Sacred 3,PS3,2014,Role-Playing,Deep Silver,0.03,0.04,0.03,0.01,0.1,56.0,13.0,3.4,46.0,"Deep Silver, Keen Games",M
10453,Wasteland 2,PC,2015,Role-Playing,inXile Entertainment,0.03,0.06,0.0,0.01,0.1,81.0,65.0,7.3,1170.0,InXile Entertainment,M
10459,Pro Evolution Soccer 2014,PC,2013,Action,Konami Digital Entertainment,0.0,0.1,0.0,0.01,0.1,74.0,9.0,4.4,239.0,Konami,E
10462,Etrian Odyssey II: Heroes of Lagaard,3DS,2014,Role-Playing,Atlus,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10475,Macross 30: Ginga o Tsunagu Utagoe,PS3,2013,Shooter,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10476,Kidou Senshi Gundam UC,PS3,2012,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10490,Little Battlers eXperience W,3DS,2013,Role-Playing,Level 5,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10492,Blades of Time,X360,2012,Action,Konami Digital Entertainment,0.07,0.02,0.0,0.01,0.1,52.0,23.0,6.5,30.0,Gaijin Entertainment,M
10495,Dungeon Travelers 2: The Royal Library & The Monster Seal,PSV,2014,Role-Playing,Atlus,0.03,0.02,0.05,0.01,0.1,0.0,0.0,0.0,0.0,,
10508,Samurai Warriors Chronicles 2nd,3DS,2012,Action,Ubisoft Annecy,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10516,Ride,XOne,2015,Racing,Milestone S.r.l.,0.04,0.05,0.0,0.01,0.1,54.0,9.0,5.3,17.0,Milestone S.r.l,E
10518,NASCAR The Game: Inside Line,X360,2012,Racing,Activision,0.09,0.0,0.0,0.01,0.1,72.0,7.0,3.4,27.0,Eutechnyx,E
10519,How to Train Your Dragon 2,PS3,2014,Adventure,Little Orbit,0.03,0.06,0.0,0.02,0.1,0.0,0.0,0.0,0.0,Torus Games,E10+
10528,The Sims 4: City Living,PC,2016,Simulation,Electronic Arts,0.02,0.08,0.0,0.01,0.1,77.0,10.0,5.7,30.0,Maxis,T
10541,Inazuma Eleven GO Strikers 2013,Wii,2012,Role-Playing,Level 5,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10555,Football Manager 2014,PSV,2013,Sports,Sega,0.0,0.08,0.0,0.02,0.1,0.0,0.0,0.0,0.0,,
10566,Digimon Adventure,PSP,2013,Role-Playing,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10568,Scribblenauts Unmasked: A DC Comics Adventure,WiiU,2013,Puzzle,Warner Bros. Interactive Entertainment,0.09,0.0,0.0,0.01,0.1,71.0,17.0,6.3,39.0,5TH Cell,E10+
10577,Terraria,PSV,2013,Action,Screenlife,0.0,0.01,0.09,0.0,0.1,85.0,17.0,7.8,112.0,Engine Software,T
10589,All Kamen Rider: Rider Generation 2,DS,2012,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10592,Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013,Puzzle,Warner Bros. Interactive Entertainment,0.09,0.0,0.0,0.01,0.1,68.0,7.0,6.2,20.0,5TH Cell,E10+
10606,Resident Evil: Revelations 2,PSV,2015,Action,Capcom,0.0,0.03,0.07,0.01,0.1,65.0,12.0,7.8,63.0,Frima Studio,M
10621,Resident Evil: Revelations 2,XOne,2015,Action,Capcom,0.07,0.02,0.0,0.01,0.1,75.0,22.0,7.5,106.0,Capcom,M
10622,Thief (2014),PC,2014,Action,Square Enix,0.0,0.09,0.0,0.01,0.1,0.0,0.0,0.0,0.0,,
10631,Earth Defense Force 2025.1: The Shadow of New Despair,PS4,2015,Action,D3Publisher,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10644,Sword Art Online: Lost Song,PS3,2015,Role-Playing,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10648,Murdered: Soul Suspect,X360,2014,Action,Square Enix,0.06,0.03,0.0,0.01,0.1,0.0,0.0,7.2,57.0,Airtight Games,M
10689,NBA 2K16,PC,2015,Sports,Take-Two Interactive,0.03,0.06,0.0,0.01,0.1,0.0,0.0,5.7,65.0,2K Sports,E10+
10691,Fate/hollow ataraxia,PSV,2014,Adventure,Type-Moon,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10696,Tales of Innocence R,PSV,2012,Role-Playing,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10708,Steins;Gate,PSV,2013,Adventure,PQube,0.04,0.04,0.0,0.02,0.1,83.0,16.0,9.2,87.0,5pb,M
10725,Ultra Street Fighter IV,PS4,2015,Fighting,Capcom,0.0,0.08,0.0,0.01,0.1,71.0,28.0,5.9,94.0,Other Ocean Interactive,T
10726,EVE: Valkyrie,PS4,2016,Shooter,CCP,0.03,0.05,0.0,0.02,0.1,73.0,26.0,6.3,37.0,CCP,T
10728,The Walking Dead: Season Two,X360,2014,Adventure,Telltale Games,0.04,0.05,0.0,0.01,0.1,0.0,0.0,0.0,0.0,,
10729,The Crew: Wild Run,PS4,2015,Action,Ubisoft,0.0,0.08,0.0,0.01,0.1,73.0,13.0,6.8,50.0,Ivory Tower,T
10731,The Walking Dead: Season Two,PSV,2014,Adventure,Telltale Games,0.07,0.0,0.01,0.02,0.1,0.0,0.0,0.0,0.0,,
10736,Code:Realize - Sousei no Himegimi,PSV,2014,Adventure,Idea Factory,0.05,0.0,0.03,0.02,0.1,0.0,0.0,0.0,0.0,,
10737,Natural Doctrine,PS4,2014,Role-Playing,Nippon Ichi Software,0.05,0.02,0.02,0.01,0.1,53.0,31.0,6.0,79.0,Kadokawa,M
10738,NeverDead,X360,2012,Shooter,Konami Digital Entertainment,0.06,0.03,0.0,0.01,0.1,52.0,46.0,5.5,65.0,Rebellion,M
10741,Blades of Time,PS3,2012,Action,Konami Digital Entertainment,0.04,0.03,0.01,0.01,0.1,53.0,19.0,7.2,22.0,Gaijin Entertainment,M
10746,Pro Evolution Soccer 2016,X360,2015,Sports,Konami Digital Entertainment,0.04,0.05,0.0,0.01,0.1,0.0,0.0,7.0,34.0,Konami,E
10753,F1 2014,PC,2014,Racing,Codemasters,0.0,0.09,0.0,0.01,0.1,61.0,20.0,4.8,65.0,Codemasters Birmingham,E
10756,Angry Birds Star Wars,WiiU,2013,Strategy,Activision,0.05,0.04,0.0,0.01,0.1,0.0,0.0,6.8,17.0,Exient Entertainment,E
10773,The Idolmaster: Platinum Stars,PS4,2016,Simulation,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10774,Jikkyou Powerful Pro Yakyuu 2013,PSV,2013,Sports,Konami Digital Entertainment,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10778,Shovel Knight,WiiU,2015,Platform,Yacht Club Games,0.05,0.04,0.0,0.01,0.1,88.0,24.0,8.3,280.0,Yacht Club Games,E
10779,Makai Shin Trillion,PSV,2014,Role-Playing,Idea Factory,0.02,0.01,0.06,0.01,0.1,0.0,0.0,0.0,0.0,,
10781,Digimon World: Next Order,PSV,2016,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,B.B.Studio,
10784,Operation Abyss: New Tokyo Legacy,PSV,2014,Role-Playing,Nippon Ichi Software,0.02,0.0,0.06,0.01,0.1,66.0,25.0,7.3,24.0,Experience Inc.,M
10787,Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta,PSV,2012,Adventure,Gust,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10794,Gundam Breaker 3,PS4,2016,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10795,Etrian Odyssey 2 Untold: Knight of Fafnir,3DS,2014,Role-Playing,Atlus,0.07,0.02,0.0,0.01,0.1,0.0,0.0,0.0,0.0,,
10800,Sol Trigger,PSP,2012,Role-Playing,Image Epoch,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10803,Samurai Warriors 4: Empires,PS4,2015,Action,Tecmo Koei,0.02,0.01,0.06,0.01,0.1,71.0,29.0,6.5,15.0,Omega Force,T
10818,Kuroko's Basketball: Miracle Game,3DS,2014,Sports,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
10820,Lego Star Wars: The Force Awakens,PSV,2016,Action,Warner Bros. Interactive Entertainment,0.01,0.06,0.01,0.02,0.1,0.0,0.0,7.1,13.0,TT Games,E10+
10822,Skylanders Imaginators,XOne,2016,Platform,Activision,0.05,0.04,0.0,0.01,0.1,78.0,14.0,6.0,8.0,Toys for Bob,E10+
10825,The Voice,WiiU,2014,Action,Activision,0.08,0.0,0.0,0.01,0.1,0.0,0.0,0.0,0.0,,
10826,One Piece: Burning Blood,PSV,2016,Fighting,Namco Bandai Games,0.0,0.02,0.07,0.0,0.1,62.0,4.0,7.8,10.0,Spike Chunsoft,T
10829,Gundam Breaker,PSV,2013,Action,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,,
10848,Just Dance 2017,WiiU,2016,Misc,Ubisoft,0.03,0.06,0.0,0.01,0.09,0.0,0.0,0.0,0.0,Ubisoft Paris,E10+
10849,Brain Age: Concentration Training,3DS,2012,Puzzle,Nintendo,0.09,0.0,0.0,0.01,0.09,71.0,11.0,7.9,17.0,Nintendo,E
10856,Pac-Man and the Ghostly Adventures 2,PS3,2014,Adventure,Namco Bandai Games,0.05,0.03,0.0,0.02,0.09,59.0,11.0,6.3,4.0,Vicious Cycle,E10+
10863,Disney Planes Fire & Rescue,3DS,2014,Action,Disney Interactive Studios,0.01,0.08,0.0,0.01,0.09,0.0,0.0,0.0,0.0,,
10865,PhotoKano,PSP,2012,Adventure,Kadokawa Shoten,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,,
10866,Ouchi Mainichi Tamagotchi,3DS,2012,Action,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,,
10869,Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,,
10876,Girls und Panzer: I Will Master Tankery,PSV,2014,Action,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,,
10882,Young Justice: Legacy,PS3,2013,Action,Namco Bandai Games,0.06,0.01,0.0,0.02,0.09,0.0,0.0,4.9,15.0,Freedom Factory Studios,T
10883,Ys VIII: Lacrimosa of Dana,PSV,2016,Role-Playing,Nihon Falcom Corporation,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,,
10888,Devil May Cry 4,PS4,2015,Action,Capcom,0.01,0.0,0.08,0.0,0.09,0.0,0.0,0.0,0.0,,
10894,Adventure Time: Finn & Jake Investigations,PS4,2015,Action,Little Orbit,0.03,0.05,0.0,0.02,0.09,0.0,0.0,0.0,0.0,,
10897,Pro Evolution Soccer 2013,Wii,2012,Sports,Konami Digital Entertainment,0.0,0.03,0.06,0.0,0.09,0.0,0.0,0.0,0.0,Konami,E
10907,MegaTagmension Blanc + Neptune VS Zombies,PSV,2015,Action,Idea Factory International,0.02,0.01,0.05,0.01,0.09,0.0,0.0,0.0,0.0,,
10912,The Smurfs 2,Wii,2013,Platform,Ubisoft,0.0,0.09,0.0,0.01,0.09,0.0,0.0,0.0,0.0,WayForward,E
10917,Uta no Prince-Sama: Debut,PSP,2012,Adventure,Broccoli,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,,
10922,PAC-MAN and the Ghostly Adventures,3DS,2013,Platform,Namco Bandai Games,0.05,0.04,0.0,0.01,0.09,0.0,0.0,0.0,0.0,Inti Creates,E10+
10926,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016,Action,Activision,0.05,0.02,0.0,0.02,0.09,44.0,49.0,5.5,163.0,PlatinumGames,T
10928,Minecraft: Story Mode,PC,2015,Adventure,Mojang,0.02,0.06,0.0,0.01,0.09,0.0,0.0,0.0,0.0,,
10948,Major League Baseball 2K12,PSP,2012,Sports,Take-Two Interactive,0.08,0.0,0.0,0.01,0.09,0.0,0.0,0.0,0.0,Visual Concepts,E
10960,Steins;Gate 0,PSV,2015,Adventure,PQube,0.0,0.03,0.05,0.01,0.09,86.0,7.0,9.3,20.0,5pb,M
10963,Resident Evil Chronicles HD,PS3,2012,Shooter,Capcom,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,,
10964,Football Manager 2017,PC,2016,Simulation,Sega,0.0,0.09,0.0,0.01,0.09,81.0,41.0,4.3,57.0,Sports Interactive,E
10971,MXGP 2,PS4,2016,Racing,Milestone S.r.l.,0.02,0.05,0.0,0.01,0.09,0.0,0.0,0.0,0.0,,
10973,Hyperdimension Idol Neptunia PP,PSV,2013,Misc,Namco Bandai Games,0.02,0.02,0.04,0.01,0.09,0.0,0.0,0.0,0.0,,
11011,Singstar: Ultimate Party,PS3,2014,Misc,Sony Computer Entertainment Europe,0.0,0.08,0.0,0.01,0.09,0.0,0.0,0.0,0.0,,
